username,content,Lingkungan,Harga,Pemandangan,cleaning,hapusEmoji,replaceTOM,caseFolding,tokenizing,formalisasi,stopwordRemoval,stemming
Cita Dwi Lestari,"Tempat tenang yang cocok untuk duduk dan menikmati pemandangan.  
Jalan-jalan mengelilingi telaga juga sangat disarankan sambil berfoto dengan background telaga.   …",,,Positif,"Tempat tenang yang cocok untuk duduk dan menikmati pemandangan   
Jalan jalan mengelilingi telaga juga sangat disarankan sambil berfoto dengan background telaga    …","Tempat tenang yang cocok untuk duduk dan menikmati pemandangan   
Jalan jalan mengelilingi telaga juga sangat disarankan sambil berfoto dengan background telaga    ","Tempat tenang yang cocok untuk duduk dan menikmati pemandangan 
Jalan jalan mengelilingi telaga juga sangat disarankan sambil berfoto dengan background telaga ","tempat tenang yang cocok untuk duduk dan menikmati pemandangan 
jalan jalan mengelilingi telaga juga sangat disarankan sambil berfoto dengan background telaga ","['tempat', 'tenang', 'yang', 'cocok', 'untuk', 'duduk', 'dan', 'menikmati', 'pemandangan', 'jalan', 'jalan', 'mengelilingi', 'telaga', 'juga', 'sangat', 'disarankan', 'sambil', 'berfoto', 'dengan', 'background', 'telaga']","['tempat', 'tenang', 'yang', 'cocok', 'untuk', 'duduk', 'dan', 'menikmati', 'pemandangan', 'jalan', 'jalan', 'mengelilingi', 'telaga', 'juga', 'sangat', 'disarankan', 'sambil', 'berfoto', 'dengan', 'background', 'telaga']","['tenang', 'cocok', 'duduk', 'menikmati', 'pemandangan', 'jalan', 'jalan', 'mengelilingi', 'telaga', 'disarankan', 'berfoto', 'background', 'telaga']","['tenang', 'cocok', 'duduk', 'nikmat', 'pandang', 'jalan', 'jalan', 'keliling', 'telaga', 'saran', 'foto', 'background', 'telaga']"
mochamad irfan,Suasananya dingin dan syahdu apalagi saat musim hujan.   Kalau kesini sih disarankan jangan jangan saat peak season karena sangat rame dan susah parkir.   …,Positif,,,Suasananya dingin dan syahdu apalagi saat musim hujan    Kalau kesini sih disarankan jangan jangan saat peak season karena sangat rame dan susah parkir    …,Suasananya dingin dan syahdu apalagi saat musim hujan    Kalau kesini sih disarankan jangan jangan saat peak season karena sangat rame dan susah parkir    ,Suasananya dingin dan syahdu apalagi saat musim hujan Kalau kesini sih disarankan jangan jangan saat peak season karena sangat rame dan susah parkir ,suasananya dingin dan syahdu apalagi saat musim hujan kalau kesini sih disarankan jangan jangan saat peak season karena sangat rame dan susah parkir ,"['suasananya', 'dingin', 'dan', 'syahdu', 'apalagi', 'saat', 'musim', 'hujan', 'kalau', 'kesini', 'sih', 'disarankan', 'jangan', 'jangan', 'saat', 'peak', 'season', 'karena', 'sangat', 'rame', 'dan', 'susah', 'parkir']","['suasananya', 'dingin', 'dan', 'syahdu', 'apalagi', 'saat', 'musim', 'hujan', 'kalau', 'kesini', 'sih', 'disarankan', 'jangan', 'jangan', 'saat', 'peak', 'season', 'karena', 'sangat', 'ramai', 'dan', 'susah', 'parkir']","['suasananya', 'dingin', 'syahdu', 'musim', 'hujan', 'kesini', 'sih', 'disarankan', 'peak', 'season', 'ramai', 'susah', 'parkir']","['suasana', 'dingin', 'syahdu', 'musim', 'hujan', 'kesini', 'sih', 'saran', 'peak', 'season', 'ramai', 'susah', 'parkir']"
zilda caca,"kesini pas abis ujann jadinya sejuk dan dingin poll,  walaupun agak gerimis dikitt tapi tetep bisaa naik perahu muterin telaganyaa.   agak lumayan jauh dari parkiran jdinya waktu itu ngojek buat smpe lokasi,  akses jalannya sudah bagus.   harga tiket murah",Positif,Positif,Positif,kesini pas abis ujann jadinya sejuk dan dingin poll   walaupun agak gerimis dikitt tapi tetep bisaa naik perahu muterin telaganyaa    agak lumayan jauh dari parkiran jdinya waktu itu ngojek buat smpe lokasi   akses jalannya sudah bagus    harga tiket murah,kesini pas abis ujann jadinya sejuk dan dingin poll   walaupun agak gerimis dikitt tapi tetep bisaa naik perahu muterin telaganyaa    agak lumayan jauh dari parkiran jdinya waktu itu ngojek buat smpe lokasi   akses jalannya sudah bagus    harga tiket murah,kesini pas abis ujann jadinya sejuk dan dingin poll walaupun agak gerimis dikitt tapi tetep bisaa naik perahu muterin telaganyaa agak lumayan jauh dari parkiran jdinya waktu itu ngojek buat smpe lokasi akses jalannya sudah bagus harga tiket murah,kesini pas abis ujann jadinya sejuk dan dingin poll walaupun agak gerimis dikitt tapi tetep bisaa naik perahu muterin telaganyaa agak lumayan jauh dari parkiran jdinya waktu itu ngojek buat smpe lokasi akses jalannya sudah bagus harga tiket murah,"['kesini', 'pas', 'abis', 'ujann', 'jadinya', 'sejuk', 'dan', 'dingin', 'poll', 'walaupun', 'agak', 'gerimis', 'dikitt', 'tapi', 'tetep', 'bisaa', 'naik', 'perahu', 'muterin', 'telaganyaa', 'agak', 'lumayan', 'jauh', 'dari', 'parkiran', 'jdinya', 'waktu', 'itu', 'ngojek', 'buat', 'smpe', 'lokasi', 'akses', 'jalannya', 'sudah', 'bagus', 'harga', 'tiket', 'murah']","['kesini', 'pas', 'habis', 'ujann', 'jadinya', 'sejuk', 'dan', 'dingin', 'poll', 'walaupun', 'agak', 'gerimis', 'dikitt', 'tapi', 'tetep', 'bisaa', 'naik', 'perahu', 'muterin', 'telaganyaa', 'agak', 'lumayan', 'jauh', 'dari', 'parkiran', 'jdinya', 'waktu', 'itu', 'ngojek', 'buat', 'smpe', 'lokasi', 'akses', 'jalannya', 'sudah', 'bagus', 'harga', 'tiket', 'murah']","['kesini', 'pas', 'habis', 'ujann', 'sejuk', 'dingin', 'poll', 'gerimis', 'dikitt', 'tetep', 'bisaa', 'perahu', 'muterin', 'telaganyaa', 'lumayan', 'parkiran', 'jdinya', 'ngojek', 'smpe', 'lokasi', 'akses', 'jalannya', 'bagus', 'harga', 'tiket', 'murah']","['kesini', 'pas', 'habis', 'ujann', 'sejuk', 'dingin', 'poll', 'gerimis', 'dikitt', 'tetep', 'bisaa', 'perahu', 'muterin', 'telaganyaa', 'lumayan', 'parkir', 'jdinya', 'ngojek', 'smpe', 'lokasi', 'akses', 'jalan', 'bagus', 'harga', 'tiket', 'murah']"
Ashlah Mukafy,"Telaga yg sangat terkenal di Sarangan.  

Pemandangan indah.  .  .   Cuaca yg dingin dan berkabut.   …",Positif,,Positif,"Telaga yg sangat terkenal di Sarangan   

Pemandangan indah          Cuaca yg dingin dan berkabut    …","Telaga yg sangat terkenal di Sarangan   

Pemandangan indah          Cuaca yg dingin dan berkabut    ","Telaga yg sangat terkenal di Sarangan 

Pemandangan indah Cuaca yg dingin dan berkabut ","telaga yg sangat terkenal di sarangan 

pemandangan indah cuaca yg dingin dan berkabut ","['telaga', 'yg', 'sangat', 'terkenal', 'di', 'sarangan', 'pemandangan', 'indah', 'cuaca', 'yg', 'dingin', 'dan', 'berkabut']","['telaga', 'yang', 'sangat', 'terkenal', 'di', 'sarangan', 'pemandangan', 'indah', 'cuaca', 'yang', 'dingin', 'dan', 'berkabut']","['telaga', 'terkenal', 'sarangan', 'pemandangan', 'indah', 'cuaca', 'dingin', 'berkabut']","['telaga', 'kenal', 'sarangan', 'pandang', 'indah', 'cuaca', 'dingin', 'kabut']"
Candra Agustin,"Harga tiket nya 20.  000 ,  makanan yg paling uwenak,  pecel tapi yang dijual dipinggir gitu karena sayurnya banyak,  tempat nya selalu ramai,  disana terdapat kapal speed boat dan keliling naik kuda",,,,Harga tiket nya 20   000    makanan yg paling uwenak   pecel tapi yang dijual dipinggir gitu karena sayurnya banyak   tempat nya selalu ramai   disana terdapat kapal speed boat dan keliling naik kuda,Harga tiket nya 20   000    makanan yg paling uwenak   pecel tapi yang dijual dipinggir gitu karena sayurnya banyak   tempat nya selalu ramai   disana terdapat kapal speed boat dan keliling naik kuda,Harga tiket nya 20 0 makanan yg paling uwenak pecel tapi yang dijual dipinggir gitu karena sayurnya banyak tempat nya selalu ramai disana terdapat kapal speed boat dan keliling naik kuda,harga tiket nya 20 0 makanan yg paling uwenak pecel tapi yang dijual dipinggir gitu karena sayurnya banyak tempat nya selalu ramai disana terdapat kapal speed boat dan keliling naik kuda,"['harga', 'tiket', 'nya', '20', '0', 'makanan', 'yg', 'paling', 'uwenak', 'pecel', 'tapi', 'yang', 'dijual', 'dipinggir', 'gitu', 'karena', 'sayurnya', 'banyak', 'tempat', 'nya', 'selalu', 'ramai', 'disana', 'terdapat', 'kapal', 'speed', 'boat', 'dan', 'keliling', 'naik', 'kuda']","['harga', 'tiket', 'nya', '20', '0', 'makanan', 'yang', 'paling', 'uwenak', 'pecel', 'tapi', 'yang', 'dijual', 'dipinggir', 'gitu', 'karena', 'sayurnya', 'banyak', 'tempat', 'nya', 'selalu', 'ramai', 'disana', 'terdapat', 'kapal', 'speed', 'boat', 'dan', 'keliling', 'naik', 'kuda']","['harga', 'tiket', 'nya', '20', '0', 'makanan', 'uwenak', 'pecel', 'dijual', 'dipinggir', 'gitu', 'sayurnya', 'nya', 'ramai', 'disana', 'kapal', 'speed', 'boat', 'keliling', 'kuda']","['harga', 'tiket', 'nya', '20', '0', 'makan', 'uwenak', 'pecel', 'jual', 'pinggir', 'gitu', 'sayur', 'nya', 'ramai', 'sana', 'kapal', 'speed', 'boat', 'keliling', 'kuda']"
Sugiharto Harto,"Tempat rekreasi keluarga yang nyaman.   Banyak penginapan di sekitar telaga.   Bisa naik speedboat keliling telaga.   Pagi atau sore enak buat joging keliling telaga.   Suasana kalau sore menjelang malam sangat syahdu,  apalagi ketika hujan …",Positif,,,Tempat rekreasi keluarga yang nyaman    Banyak penginapan di sekitar telaga    Bisa naik speedboat keliling telaga    Pagi atau sore enak buat joging keliling telaga    Suasana kalau sore menjelang malam sangat syahdu   apalagi ketika hujan …,Tempat rekreasi keluarga yang nyaman    Banyak penginapan di sekitar telaga    Bisa naik speedboat keliling telaga    Pagi atau sore enak buat joging keliling telaga    Suasana kalau sore menjelang malam sangat syahdu   apalagi ketika hujan ,Tempat rekreasi keluarga yang nyaman Banyak penginapan di sekitar telaga Bisa naik speedboat keliling telaga Pagi atau sore enak buat joging keliling telaga Suasana kalau sore menjelang malam sangat syahdu apalagi ketika hujan ,tempat rekreasi keluarga yang nyaman banyak penginapan di sekitar telaga bisa naik speedboat keliling telaga pagi atau sore enak buat joging keliling telaga suasana kalau sore menjelang malam sangat syahdu apalagi ketika hujan ,"['tempat', 'rekreasi', 'keluarga', 'yang', 'nyaman', 'banyak', 'penginapan', 'di', 'sekitar', 'telaga', 'bisa', 'naik', 'speedboat', 'keliling', 'telaga', 'pagi', 'atau', 'sore', 'enak', 'buat', 'joging', 'keliling', 'telaga', 'suasana', 'kalau', 'sore', 'menjelang', 'malam', 'sangat', 'syahdu', 'apalagi', 'ketika', 'hujan']","['tempat', 'rekreasi', 'keluarga', 'yang', 'nyaman', 'banyak', 'penginapan', 'di', 'sekitar', 'telaga', 'bisa', 'naik', 'speedboat', 'keliling', 'telaga', 'pagi', 'atau', 'sore', 'enak', 'buat', 'joging', 'keliling', 'telaga', 'suasana', 'kalau', 'sore', 'menjelang', 'malam', 'sangat', 'syahdu', 'apalagi', 'ketika', 'hujan']","['rekreasi', 'keluarga', 'nyaman', 'penginapan', 'telaga', 'speedboat', 'keliling', 'telaga', 'pagi', 'sore', 'enak', 'joging', 'keliling', 'telaga', 'suasana', 'sore', 'menjelang', 'malam', 'syahdu', 'hujan']","['rekreasi', 'keluarga', 'nyaman', 'inap', 'telaga', 'speedboat', 'keliling', 'telaga', 'pagi', 'sore', 'enak', 'joging', 'keliling', 'telaga', 'suasana', 'sore', 'jelang', 'malam', 'syahdu', 'hujan']"
Syifa Diah,"Telaga sarangan.  .  .   cocok buat healing tipis2.  .   dari hotel nirwana ke telaga bisa jalan kaki sekitar 300m.   disini dingin bangett airnya ky air es,  naik spead boat 1 putaran 70rb,  2 putaran 150rb.   ada kuda juga,  ada pasar sayurnya yg murah2,  …",Positif,Positif,,Telaga sarangan          cocok buat healing tipis2       dari hotel nirwana ke telaga bisa jalan kaki sekitar 300m    disini dingin bangett airnya ky air es   naik spead boat 1 putaran 70rb   2 putaran 150rb    ada kuda juga   ada pasar sayurnya yg murah2   …,Telaga sarangan          cocok buat healing tipis2       dari hotel nirwana ke telaga bisa jalan kaki sekitar 300m    disini dingin bangett airnya ky air es   naik spead boat 1 putaran 70rb   2 putaran 150rb    ada kuda juga   ada pasar sayurnya yg murah2   ,Telaga sarangan cocok buat healing tipis2 dari hotel nirwana ke telaga bisa jalan kaki sekitar 300m disini dingin bangett airnya ky air es naik spead boat 1 putaran 70rb 2 putaran 150rb ada kuda juga ada pasar sayurnya yg murah2 ,telaga sarangan cocok buat healing tipis2 dari hotel nirwana ke telaga bisa jalan kaki sekitar 300m disini dingin bangett airnya ky air es naik spead boat 1 putaran 70rb 2 putaran 150rb ada kuda juga ada pasar sayurnya yg murah2 ,"['telaga', 'sarangan', 'cocok', 'buat', 'healing', 'tipis2', 'dari', 'hotel', 'nirwana', 'ke', 'telaga', 'bisa', 'jalan', 'kaki', 'sekitar', '300m', 'disini', 'dingin', 'bangett', 'airnya', 'ky', 'air', 'es', 'naik', 'spead', 'boat', '1', 'putaran', '70rb', '2', 'putaran', '150rb', 'ada', 'kuda', 'juga', 'ada', 'pasar', 'sayurnya', 'yg', 'murah2']","['telaga', 'sarangan', 'cocok', 'buat', 'healing', 'tipis2', 'dari', 'hotel', 'nirwana', 'ke', 'telaga', 'bisa', 'jalan', 'kaki', 'sekitar', '300m', 'disini', 'dingin', 'bangett', 'airnya', 'seperti', 'air', 'es', 'naik', 'spead', 'boat', '1', 'putaran', '70rb', '2', 'putaran', '150rb', 'ada', 'kuda', 'juga', 'ada', 'pasar', 'sayurnya', 'yang', 'murah2']","['telaga', 'sarangan', 'cocok', 'healing', 'tipis2', 'hotel', 'nirwana', 'telaga', 'jalan', 'kaki', '300m', 'dingin', 'bangett', 'airnya', 'air', 'es', 'spead', 'boat', '1', 'putaran', '70rb', '2', 'putaran', '150rb', 'kuda', 'pasar', 'sayurnya', 'murah2']","['telaga', 'sarangan', 'cocok', 'healing', 'tipis2', 'hotel', 'nirwana', 'telaga', 'jalan', 'kaki', '300m', 'dingin', 'bangett', 'air', 'air', 'es', 'spead', 'boat', '1', 'putar', '70rb', '2', 'putar', '150rb', 'kuda', 'pasar', 'sayur', 'murah2']"
010 Agung Pambudi,"Telaga Sarangan adalah destinasi wisata yang menyajikan pemandangan alam yang indah dan sejuk,  terletak di kaki Gunung Lawu.   Danau yang dikelilingi oleh perbukitan hijau ini menawarkan suasana tenang dan cocok untuk beristirahat.   Aktivitas …",Positif,,Positif,Telaga Sarangan adalah destinasi wisata yang menyajikan pemandangan alam yang indah dan sejuk   terletak di kaki Gunung Lawu    Danau yang dikelilingi oleh perbukitan hijau ini menawarkan suasana tenang dan cocok untuk beristirahat    Aktivitas …,Telaga Sarangan adalah destinasi wisata yang menyajikan pemandangan alam yang indah dan sejuk   terletak di kaki Gunung Lawu    Danau yang dikelilingi oleh perbukitan hijau ini menawarkan suasana tenang dan cocok untuk beristirahat    Aktivitas ,Telaga Sarangan adalah destinasi wisata yang menyajikan pemandangan alam yang indah dan sejuk terletak di kaki Gunung Lawu Danau yang dikelilingi oleh perbukitan hijau ini menawarkan suasana tenang dan cocok untuk beristirahat Aktivitas ,telaga sarangan adalah destinasi wisata yang menyajikan pemandangan alam yang indah dan sejuk terletak di kaki gunung lawu danau yang dikelilingi oleh perbukitan hijau ini menawarkan suasana tenang dan cocok untuk beristirahat aktivitas ,"['telaga', 'sarangan', 'adalah', 'destinasi', 'wisata', 'yang', 'menyajikan', 'pemandangan', 'alam', 'yang', 'indah', 'dan', 'sejuk', 'terletak', 'di', 'kaki', 'gunung', 'lawu', 'danau', 'yang', 'dikelilingi', 'oleh', 'perbukitan', 'hijau', 'ini', 'menawarkan', 'suasana', 'tenang', 'dan', 'cocok', 'untuk', 'beristirahat', 'aktivitas']","['telaga', 'sarangan', 'adalah', 'destinasi', 'wisata', 'yang', 'menyajikan', 'pemandangan', 'alam', 'yang', 'indah', 'dan', 'sejuk', 'terletak', 'di', 'kaki', 'gunung', 'lawu', 'danau', 'yang', 'dikelilingi', 'oleh', 'perbukitan', 'hijau', 'ini', 'menawarkan', 'suasana', 'tenang', 'dan', 'cocok', 'untuk', 'beristirahat', 'aktivitas']","['telaga', 'sarangan', 'destinasi', 'wisata', 'menyajikan', 'pemandangan', 'alam', 'indah', 'sejuk', 'terletak', 'kaki', 'gunung', 'lawu', 'danau', 'dikelilingi', 'perbukitan', 'hijau', 'menawarkan', 'suasana', 'tenang', 'cocok', 'beristirahat', 'aktivitas']","['telaga', 'sarangan', 'destinasi', 'wisata', 'saji', 'pandang', 'alam', 'indah', 'sejuk', 'letak', 'kaki', 'gunung', 'lawu', 'danau', 'keliling', 'bukit', 'hijau', 'tawar', 'suasana', 'tenang', 'cocok', 'istirahat', 'aktivitas']"
Jovita Widyawati,"tempatnya oke,  sygnya banyak kuda di sekitar pejalan kaki jadinya sering hampir ketabrak padahal udah hati² hehe
sate kelincinya enakkk,  penjualnya ramah² …",,,,"tempatnya oke   sygnya banyak kuda di sekitar pejalan kaki jadinya sering hampir ketabrak padahal udah hati² hehe
sate kelincinya enakkk   penjualnya ramah² …","tempatnya oke   sygnya banyak kuda di sekitar pejalan kaki jadinya sering hampir ketabrak padahal udah hati hehe
sate kelincinya enakkk   penjualnya ramah ","tempatnya oke sygnya banyak kuda di sekitar pejalan kaki jadinya sering hampir ketabrak padahal udah hati hehe
sate kelincinya enak penjualnya ramah ","tempatnya oke sygnya banyak kuda di sekitar pejalan kaki jadinya sering hampir ketabrak padahal udah hati hehe
sate kelincinya enak penjualnya ramah ","['tempatnya', 'oke', 'sygnya', 'banyak', 'kuda', 'di', 'sekitar', 'pejalan', 'kaki', 'jadinya', 'sering', 'hampir', 'ketabrak', 'padahal', 'udah', 'hati', 'hehe', 'sate', 'kelincinya', 'enak', 'penjualnya', 'ramah']","['tempatnya', 'oke', 'sygnya', 'banyak', 'kuda', 'di', 'sekitar', 'pejalan', 'kaki', 'jadinya', 'sering', 'hampir', 'ketabrak', 'padahal', 'sudah', 'hati', 'he', 'sate', 'kelincinya', 'enak', 'penjualnya', 'ramah']","['tempatnya', 'oke', 'sygnya', 'kuda', 'pejalan', 'kaki', 'ketabrak', 'hati', 'he', 'sate', 'kelincinya', 'enak', 'penjualnya', 'ramah']","['tempat', 'oke', 'sygnya', 'kuda', 'pejal', 'kaki', 'tabrak', 'hati', 'he', 'sate', 'kelinci', 'enak', 'jual', 'ramah']"
Tita Shifana,"Dateng kesini pas hari weekday lumayan rame juga.  
Tiket masuk 20k / orang,  motor bisa masuk sampe ke telaga,  jadi ngga usah byr parkir,  klo ke toilet byr 3k.   …",,,,"Dateng kesini pas hari weekday lumayan rame juga   
Tiket masuk 20k   orang   motor bisa masuk sampe ke telaga   jadi ngga usah byr parkir   klo ke toilet byr 3k    …","Dateng kesini pas hari weekday lumayan rame juga   
Tiket masuk 20k   orang   motor bisa masuk sampe ke telaga   jadi ngga usah byr parkir   klo ke toilet byr 3k    ","Dateng kesini pas hari weekday lumayan rame juga 
Tiket masuk 20k orang motor bisa masuk sampe ke telaga jadi ngga usah byr parkir klo ke toilet byr 3k ","dateng kesini pas hari weekday lumayan rame juga 
tiket masuk 20k orang motor bisa masuk sampe ke telaga jadi ngga usah byr parkir klo ke toilet byr 3k ","['dateng', 'kesini', 'pas', 'hari', 'weekday', 'lumayan', 'rame', 'juga', 'tiket', 'masuk', '20k', 'orang', 'motor', 'bisa', 'masuk', 'sampe', 'ke', 'telaga', 'jadi', 'ngga', 'usah', 'byr', 'parkir', 'klo', 'ke', 'toilet', 'byr', '3k']","['dateng', 'kesini', 'pas', 'hari', 'weekday', 'lumayan', 'ramai', 'juga', 'tiket', 'masuk', '20k', 'orang', 'motor', 'bisa', 'masuk', 'sampai', 'ke', 'telaga', 'jadi', 'tidak', 'perlu', 'bayar', 'parkir', 'kalau', 'ke', 'toilet', 'bayar', '3k']","['dateng', 'kesini', 'pas', 'weekday', 'lumayan', 'ramai', 'tiket', 'masuk', '20k', 'orang', 'motor', 'masuk', 'telaga', 'bayar', 'parkir', 'toilet', 'bayar', '3k']","['dateng', 'kesini', 'pas', 'weekday', 'lumayan', 'ramai', 'tiket', 'masuk', '20k', 'orang', 'motor', 'masuk', 'telaga', 'bayar', 'parkir', 'toilet', 'bayar', '3k']"
